month,date,river,transect,lat,long,macrohabitat
january,26/jan,Ariquindá,T6,-8.709444,-35.106944,I
january,26/jan,Ariquindá,T7,-8.709167,-35.105278,I
january,26/jan,Ariquindá,T3,-8.689722,-35.104444,V
january,26/jan,Ariquindá,T4,-8.690278,-35.104167,V
january,26/jan,Ariquindá,T1,-8.689722,-35.102222,II
january,26/jan,Ariquindá,T2,-8.690556,-35.102222,I
january,26/jan,Ariquindá,T5,-8.690556,-35.104167,I
january,27/jan,Passos,T3,-8.659167,-35.095,I
january,27/jan,Passos,T4,-8.659444,-35.0925,I
january,27/jan,Passos,T5,-8.652999,-35.091401,I
january,27/jan,Passos,T6,-8.649444,-35.0925,IV
january,27/jan,Passos,T1,-8.66,-35.100278,I
january,27/jan,Passos,T2,-8.658333,-35.096667,I
january,27/jan,Passos,T7,-8.648889,-35.093056,IV
january,28/jan,Formoso,T4,-8.659444,-35.0925,I
january,28/jan,Passos,T5,-8.677778,-35.110556,II
january,28/jan,Passos,T6,-8.677778,-35.110833,II
january,28/jan,Formoso,T1,-8.684444,-35.098889,II
january,28/jan,Formoso,T2,-8.684167,-35.099444,II
january,28/jan,Formoso,T3,-8.681667,-35.114167,II
february,24/fev,Ariquindá,T4,-8.699444,-35.103333,I
february,24/fev,Ariquindá,T5,-8.700556,-35.1025,I
february,24/fev,Ariquindá,T10,-8.706667,-35.101667,II
february,24/fev,Ariquindá,T11,-8.710556,-35.095833,II
february,24/fev,Ariquindá,T1,-8.700278,-35.104167,II
february,24/fev,Ariquindá,T2,-8.700833,-35.103611,II
february,24/fev,Ariquindá,T9,-8.701667,-35.101667,II
february,24/fev,Ariquindá,T7,-8.701667,-35.101667,I
february,24/fev,Ariquindá,T3,-8.701111,-35.103333,V
february,24/fev,Ariquindá,T6,-8.699444,-35.103333,V
february,24/fev,Ariquindá,T8,-8.702778,-35.102778,I
february,25/fev,Passos,T3,-8.675278,-35.109167,I
february,25/fev,Passos,T1,-8.678611,-35.109444,I
february,25/fev,Passos,T5,-8.667778,-35.102222,I
february,25/fev,Passos,T2,-8.675556,-35.109444,I
february,25/fev,Passos,T4,-8.675278,-35.108889,I
february,26/fev,Passos,T1,-8.671944,-35.113056,I
february,26/fev,Passos,T3,-8.671111,-35.113611,I
february,26/fev,Formoso,T4,-8.67,-35.116667,I
february,26/fev,Passos,T2,-8.671944,-35.113056,I
february,27/fev,Recife,T1,-8.697614,-35.076031,III
february,27/fev,Recife,T2,-8.698056,-35.076111,III
may,06/mai,Ariquindá,T1,-8.697519,-35.104258,II
may,06/mai,Ariquindá,T2,-8.710004,-35.095362,V
may,06/mai,Ariquindá,T3,-8.709722,-35.0975,II
may,07/mai,Passos,T3,-8.670556,-35.111667,I
may,07/mai,Passos,T4,-8.668056,-8.668056,I
may,07/mai,Passos,T1,-8.671111,-35.112222,I
may,07/mai,Passos,T2,-8.670556,-35.111667,I
may,07/mai,Passos,T6,-8.661836,-35.097255,I
may,07/mai,Formoso,T7,-8.683722,-35.106217,I
may,07/mai,Passos,T5,-8.660471,-35.100581,I
may,07/mai,Formoso,T8,-8.68395,-35.105647,I
may,08/mai,Formoso,T1,-8.684444,-35.112222,V
may,08/mai,Formoso,T2,-8.684167,-35.1125,V
may,08/mai,Formoso,T3,-8.683889,-35.113056,V
may,08/mai,Formoso,T4,-8.687222,-35.109722,V
may,08/mai,Formoso,T5,-8.6875,-35.107778,V
